player_id,recent_team,season,week,opponent_team,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,fumbles,2pt
00-0000003,MIA,1999,1,DEN,0.0,0,0.0,60.0,1,1,7.0,0,12.7,13.7,0.0,0
00-0000003,MIA,1999,2,ARI,0.0,0,0.0,33.0,0,3,18.0,0,5.1,8.1,0.0,0
00-0000003,MIA,1999,4,BUF,0.0,0,0.0,2.0,0,0,0.0,0,0.2,0.2,0.0,0
00-0000003,CLE,1999,7,LA,0.0,0,0.0,27.0,0,2,8.0,0,3.5,5.5,0.0,0
00-0000003,CLE,1999,8,NO,0.0,0,0.0,39.0,0,0,0.0,0,3.9,3.9,0.0,0
00-0000003,CLE,1999,9,BAL,0.0,0,0.0,23.0,0,1,2.0,0,2.5,3.5,0.0,0
00-0000003,CLE,1999,10,PIT,0.0,0,0.0,54.0,0,1,7.0,0,6.1,7.1,0.0,0
00-0000003,CLE,1999,11,CAR,0.0,0,0.0,11.0,0,2,2.0,0,1.3,3.3,0.0,0
00-0000003,CLE,1999,12,TEN,0.0,0,0.0,35.0,0,1,1.0,0,3.6,4.6,0.0,0
00-0000003,CLE,1999,13,LAC,0.0,0,0.0,29.0,0,1,21.0,0,5.0,6.0,0.0,0
00-0000003,CLE,1999,14,CIN,0.0,0,0.0,10.0,0,2,7.0,1,7.7,9.7,0.0,0
00-0000003,CLE,1999,15,JAX,0.0,0,0.0,36.0,0,1,4.0,0,4.0,5.0,0.0,0
00-0000003,CLE,1999,16,IND,0.0,0,0.0,84.0,0,2,7.0,0,9.1,11.1,0.0,0
00-0000007,TB,1999,1,NYG,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0
00-0000007,TB,1999,8,DET,0.0,0,0.0,0.0,0,1,8.0,0,0.8,1.8,0.0,0
00-0000007,TB,1999,13,MIN,0.0,0,0.0,0.0,0,1,3.0,0,0.3,1.3,0.0,0
00-0000007,TB,1999,15,LV,0.0,0,0.0,12.0,0,0,0.0,0,1.2,1.2,0.0,0
00-0000104,DAL,1999,1,WAS,355.0,5,3.0,4.0,0,0,0.0,0,28.6,28.6,0.0,0
00-0000104,DAL,1999,2,ATL,101.0,0,2.0,2.0,0,0,0.0,0,0.24,0.24,0.0,0
00-0000104,DAL,1999,4,ARI,186.0,2,0.0,1.0,0,0,0.0,0,15.54,15.54,0.0,0
00-0000104,DAL,1999,5,PHI,177.0,1,2.0,-1.0,0,0,0.0,0,6.98,6.98,0.0,0
00-0000104,DAL,1999,6,NYG,260.0,0,1.0,0.0,0,0,0.0,0,8.4,8.4,0.0,0
00-0000104,DAL,1999,7,WAS,244.0,2,0.0,1.0,1,0,0.0,0,23.86,23.86,0.0,0
00-0000104,DAL,1999,8,IND,159.0,0,0.0,1.0,0,0,0.0,0,4.46,4.46,1.0,0
00-0000104,DAL,1999,9,MIN,129.0,0,0.0,0.0,0,0,0.0,0,5.16,5.16,0.0,0
00-0000104,DAL,1999,12,MIA,215.0,1,0.0,-1.0,0,0,0.0,0,12.5,12.5,0.0,0
00-0000104,DAL,1999,13,NE,160.0,0,0.0,-1.0,0,0,0.0,0,6.3,6.3,0.0,0
00-0000104,DAL,1999,14,PHI,242.0,1,0.0,6.0,0,0,0.0,0,14.28,14.28,0.0,0
00-0000104,DAL,1999,15,NYJ,158.0,1,1.0,0.0,0,0,0.0,0,8.32,8.32,0.0,0
00-0000104,DAL,1999,16,NO,246.0,2,2.0,0.0,0,0,0.0,0,13.84,13.84,0.0,0
00-0000104,DAL,1999,17,NYG,288.0,2,0.0,-2.0,0,0,0.0,0,19.32,19.32,0.0,0
