player_id,player_name,position
00-0000003,,RB
00-0000007,,RB
00-0000104,,QB
00-0000145,,WR
00-0000166,,TE
00-0000172,,WR
00-0000210,,RB
00-0000232,,RB
00-0000242,,TE
00-0000251,,FB
00-0000279,,RB
00-0000316,,RB
00-0000339,,FB
00-0000387,,WR
00-0000422,,WR
00-0000541,,RB
00-0000552,,RB
00-0000627,,WR
00-0000721,,RB
00-0000722,,QB
00-0000745,,RB
00-0000765,,WR
00-0000856,,RB
00-0000865,,QB
00-0000869,,WR
00-0000871,,RB
00-0000872,,WR
00-0000883,,TE
00-0000911,,TE
00-0000942,,RB
00-0000969,,WR
00-0001102,,FB
00-0001103,,RB
00-0001112,,RB
00-0001215,,RB
00-0001218,,QB
00-0001224,,RB
00-0001233,,RB
00-0001281,,TE
00-0001317,,WR
00-0001335,,QB
00-0001361,,QB
00-0001471,,QB
00-0001477,,WR
00-0001525,,RB
00-0001532,,WR
00-0001582,,WR
00-0001627,,WR
00-0001661,,TE
00-0001719,,WR
00-0001766,,TE
00-0001783,,WR
00-0001785,,QB
00-0001842,,WR
00-0001862,,TE
00-0001907,,QB
00-0001919,,TE
00-0001938,,RB
00-0002005,,WR
00-0002027,,FB
00-0002058,,WR
00-0002068,,WR
00-0002099,,WR
00-0002102,,TE
00-0002110,,QB
00-0002380,,RB
00-0002459,,RB
00-0002469,,WR
00-0002544,,WR
00-0002565,,TE
00-0002586,,TE
00-0002701,,WR
00-0002713,,RB
00-0002721,,WR
00-0002743,,RB
00-0002787,,QB
00-0002846,,FB
00-0002861,,TE
00-0002873,,RB
00-0002876,,QB
00-0002942,,WR
00-0002958,,TE
00-0002962,,WR
00-0002970,,FB
00-0002985,,TE
00-0003035,,TE
00-0003039,,TE
00-0003103,,TE
00-0003128,,TE
00-0003136,,RB
00-0003142,,TE
00-0003175,,WR
00-0003266,,TE
00-0003271,,RB
00-0003292,,QB
00-0003310,,TE
00-0003344,,RB
00-0003378,,WR
00-0003395,,K
00-0003396,,WR
00-0003400,,TE
00-0003441,,WR
00-0003535,,QB
00-0003557,,QB
00-0003610,,FB
00-0003663,,RB
00-0003681,,TE
00-0003700,,WR
00-0003715,,TE
00-0003739,,QB
00-0003761,,QB
00-0003803,,TE
00-0003944,,WR
00-0004004,,TE
00-0004052,,RB
00-0004054,,RB
00-0004060,,RB
00-0004063,,TE
00-0004071,,WR
00-0004077,,WR
00-0004079,,WR
00-0004091,P.Dawson,K
00-0004161,,QB
00-0004172,,TE
00-0004200,,RB
00-0004229,,QB
00-0004230,,QB
00-0004293,,QB
00-0004294,,TE
00-0004304,,RB
00-0004386,,WR
00-0004463,,WR
00-0004524,,TE
00-0004541,,WR
00-0004574,,TE
00-0004634,,WR
00-0004640,,RB
00-0004673,,WR
00-0004694,,WR
00-0004705,,WR
00-0004768,,FB
00-0004780,,WR
00-0004824,,RB
00-0004871,,RB
00-0004888,,WR
00-0004915,,WR
00-0004916,,RB
00-0004972,,RB
00-0005060,,TE
00-0005091,,RB
00-0005092,,RB
00-0005101,,TE
00-0005106,,QB
00-0005110,,RB
00-0005180,,QB
00-0005231,,WR
00-0005324,,RB
00-0005348,,FB
00-0005361,,FB
00-0005363,,QB
00-0005379,,QB
00-0005562,,WR
00-0005589,,QB
00-0005600,,QB
00-0005616,,WR
00-0005620,,RB
00-0005668,,WR
00-0005720,,WR
00-0005741,,QB
00-0005755,,QB
00-0005779,,RB
00-0005794,,QB
00-0005816,,RB
00-0005822,,FB
00-0005883,,RB
00-0005885,,QB
00-0005902,,QB
00-0005903,,WR
00-0006043,,WR
00-0006047,,TE
00-0006100,,QB
00-0006101,,TE
00-0006133,,TE
00-0006155,,RB
00-0006210,,WR
00-0006212,,QB
00-0006299,,QB
00-0006300,,QB
00-0006305,,RB
00-0006322,,WR
00-0006324,,TE
00-0006331,,WR
00-0006359,,WR
00-0006380,,RB
00-0006410,,QB
00-0006423,,QB
00-0006431,,WR
00-0006456,,RB
00-0006482,,FB
00-0006627,,WR
00-0006666,,TE
00-0006803,,RB
00-0006804,,TE
00-0006808,,QB
00-0006848,,TE
00-0006877,,WR
00-0006949,,TE
00-0006977,,WR
00-0006994,,WR
00-0007024,,WR
00-0007091,,QB
00-0007093,,WR
00-0007103,,WR
00-0007120,,WR
00-0007144,,WR
00-0007254,,FB
00-0007357,,FB
00-0007389,,RB
00-0007436,,RB
00-0007468,,WR
00-0007520,,RB
