player_id,season,recent_team,week,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,fantasy_points_ppr,fumbles,2pt,week_total,std_dev
00-0000003,1999,MIA,13,0.0,0,0.0,443.0,1,17,84.0,1,81.7,0.0,0,16,3.632686379291956
00-0000003,2000,IND,1,0.0,0,0.0,-2.0,0,0,0.0,0,-0.2,0.0,0,16,
00-0000007,1999,TB,4,0.0,0,0.0,12.0,0,2,11.0,0,4.3,0.0,0,16,0.7632168589424361
00-0000007,2000,TB,4,0.0,0,0.0,70.0,0,2,14.0,0,10.4,0.0,0,16,2.210580684414326
00-0000007,2001,TB,2,0.0,0,0.0,40.0,0,2,26.0,0,8.6,0.0,0,16,5.232590163921712
00-0000007,2003,CHI,12,0.0,0,0.0,37.0,0,8,55.0,0,17.2,0.0,0,16,1.5155756610751427
00-0000007,2004,NE,6,0.0,0,0.0,13.0,1,1,9.0,0,9.2,0.0,0,16,2.504928511178789
00-0000104,1999,DAL,14,2920.0,17,11.0,10.0,1,0,0.0,0,167.8,1.0,0,16,7.928974950089097
00-0000104,2000,DAL,11,1616.0,7,14.0,13.0,0,0,0.0,0,63.940002,2.0,1,16,6.217943465465222
00-0000108,2000,PHI,1,0.0,0,0.0,15.0,0,0,0.0,0,1.5,0.0,0,16,
00-0000108,2002,PHI,1,0.0,0,0.0,10.0,0,0,0.0,0,1.0,0.0,0,16,
00-0000108,2006,PHI,1,11.0,0,0.0,0.0,0,0,0.0,0,0.44,0.0,0,16,
00-0000108,2011,SF,1,14.0,1,0.0,0.0,0,0,0.0,0,4.56,0.0,0,16,
00-0000145,1999,KC,16,0.0,0,0.0,82.0,1,54,832.0,2,163.4,0.0,0,16,7.715773911206303
00-0000145,2000,KC,15,0.0,0,0.0,45.0,0,72,1265.0,9,257.0,0.0,0,16,6.928374999590166
00-0000145,2001,KC,13,0.0,0,0.0,16.0,0,27,470.0,3,93.6,0.0,0,16,6.589385413131155
00-0000145,2002,MIN,8,0.0,0,0.0,0.0,0,14,134.0,1,33.4,0.0,0,16,3.5911597918524327
00-0000166,1999,WAS,15,0.0,0,0.0,0.0,0,28,318.0,3,77.8,0.0,0,16,6.426604018986229
00-0000166,2000,WAS,16,0.0,0,0.0,0.0,0,46,500.0,2,108.0,0.0,0,16,3.613493164798535
00-0000166,2001,WAS,4,0.0,0,0.0,0.0,0,9,85.0,0,17.5,0.0,0,16,3.9101363960445497
00-0000166,2002,LAC,14,0.0,0,0.0,0.0,0,45,510.0,1,102.0,0.0,0,16,7.27829823483192
00-0000166,2003,LAC,1,0.0,0,0.0,0.0,0,0,0.0,0,2.0,0.0,1,16,
00-0000166,2004,DET,15,0.0,0,0.0,0.0,0,41,377.0,1,84.7,0.0,0,16,3.904002860997266
00-0000166,2005,DEN,14,0.0,0,0.0,0.0,0,21,170.0,1,44.0,0.0,0,16,2.072795998271492
00-0000166,2006,DEN,8,0.0,0,0.0,0.0,0,18,160.0,2,46.0,0.0,0,16,4.013548402649898
00-0000172,1999,NYG,2,0.0,0,0.0,0.0,0,1,7.0,1,7.7,0.0,0,16,5.444722080266501
00-0000210,1999,CHI,8,0.0,0,0.0,119.0,0,9,91.0,0,30.0,0.0,0,16,5.337736271143995
00-0000210,2000,CHI,16,0.0,0,0.0,1106.0,2,39,291.0,1,188.7,4.0,0,16,7.361473285445216
00-0000210,2001,CHI,16,0.0,0,0.0,469.0,1,30,203.0,1,109.2,0.0,0,16,6.120947571428055
00-0000210,2002,HOU,16,5.0,1,0.0,519.0,0,47,302.0,0,133.3,1.0,1,16,5.0388778667602265
00-0000232,1999,NE,16,0.0,0,0.0,887.0,8,14,125.0,1,161.2,4.0,0,16,5.80270049052156
00-0000232,2000,NO,4,0.0,0,0.0,179.0,2,1,7.0,0,33.6,0.0,1,16,8.745665471896968
00-0000232,2001,BAL,11,0.0,0,0.0,658.0,3,17,68.0,0,105.6,1.0,0,16,6.286652509025822
00-0000242,1999,CHI,11,0.0,0,0.0,0.0,0,12,94.0,1,27.4,0.0,0,16,2.082044439995901
00-0000242,2000,CHI,5,0.0,0,0.0,0.0,0,9,109.0,1,25.900002,0.0,0,16,4.128195894197139
00-0000242,2002,PIT,1,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,16,
00-0000251,1999,TB,16,0.0,0,0.0,956.0,7,27,239.0,2,190.5,5.0,0,16,7.485761684995803
00-0000251,2000,TB,13,0.0,0,0.0,465.0,5,12,92.0,0,93.7,2.0,0,16,6.018092431452613
